Transaction,Item,date_time,weekday_weekend
1,Bread,30-10-2016 09:58,weekend
2,Scandinavian,30-10-2016 10:05,weekend
2,Scandinavian,30-10-2016 10:05,weekend
3,Hot chocolate,30-10-2016 10:07,weekend
3,Jam,30-10-2016 10:07,weekend
3,Cookies,30-10-2016 10:07,weekend
4,Muffin,30-10-2016 10:08,weekend
5,Coffee,30-10-2016 10:13,weekend
5,Pastry,30-10-2016 10:13,weekend
5,Bread,30-10-2016 10:13,weekend
6,Medialuna,30-10-2016 10:16,weekend
6,Pastry,30-10-2016 10:16,weekend
6,Muffin,30-10-2016 10:16,weekend
7,Medialuna,30-10-2016 10:19,weekend
7,Pastry,30-10-2016 10:19,weekend
7,Coffee,30-10-2016 10:19,weekend
7,Tea,30-10-2016 10:19,weekend
8,Pastry,30-10-2016 10:20,weekend
8,Bread,30-10-2016 10:20,weekend
9,Bread,30-10-2016 10:21,weekend
9,Muffin,30-10-2016 10:21,weekend
10,Scandinavian,30-10-2016 10:25,weekend
10,Medialuna,30-10-2016 10:25,weekend
11,Bread,30-10-2016 10:27,weekend
11,Medialuna,30-10-2016 10:27,weekend
11,Bread,30-10-2016 10:27,weekend
12,Jam,30-10-2016 10:30,weekend
12,Coffee,30-10-2016 10:30,weekend
12,Tartine,30-10-2016 10:30,weekend
12,Pastry,30-10-2016 10:30,weekend
12,Tea,30-10-2016 10:30,weekend
13,Basket,30-10-2016 10:31,weekend
13,Bread,30-10-2016 10:31,weekend
13,Coffee,30-10-2016 10:31,weekend
14,Bread,30-10-2016 10:32,weekend
14,Medialuna,30-10-2016 10:32,weekend
14,Pastry,30-10-2016 10:32,weekend
15,Mineral water,30-10-2016 10:34,weekend
15,Scandinavian,30-10-2016 10:34,weekend
16,Bread,30-10-2016 10:37,weekend
16,Medialuna,30-10-2016 10:37,weekend
16,Coffee,30-10-2016 10:37,weekend
17,Hot chocolate,30-10-2016 10:38,weekend
18,Farm House,30-10-2016 10:41,weekend
19,Farm House,30-10-2016 10:43,weekend
19,Bread,30-10-2016 10:43,weekend
20,Bread,30-10-2016 10:45,weekend
20,Medialuna,30-10-2016 10:45,weekend
21,Coffee,30-10-2016 10:49,weekend
21,Coffee,30-10-2016 10:49,weekend
21,Medialuna,30-10-2016 10:49,weekend
21,Bread,30-10-2016 10:49,weekend
22,Jam,30-10-2016 10:52,weekend
23,Scandinavian,30-10-2016 10:53,weekend
23,Muffin,30-10-2016 10:53,weekend
24,Bread,30-10-2016 10:54,weekend
