x,y,color
490.1271719,115.109548,1
294.2678704,158.581321,0
440.4250551,203.1408441,2
494.3722905,112.0776223,1
316.3610871,238.7598002,1
489.7365432,109.9363909,1
384.194286,153.6160009,1
451.0473591,208.3988857,2
471.3116514,102.4649889,1
295.0304447,272.7025736,1
357.68175,184.4325279,1
289.8798245,290.1293011,1
357.1539861,206.8120391,1
295.9286865,149.7359868,0
327.4788318,188.6407121,1
422.7665021,134.680125,1
388.9055199,196.7711313,1
479.1138878,221.4878367,2
325.3310904,216.5131825,1
360.648108,198.8561138,1
435.5541097,260.5475832,2
489.5396996,288.8496317,2
361.1237576,98.02190593,0
345.420449,232.5601635,1
392.8373569,267.9739781,2
309.2822413,258.828115,1
488.1783952,259.9030485,2
424.7981859,124.1352161,1
403.1331496,274.5237365,2
319.2171561,107.4818277,0
503.9551542,211.322361,2
417.5958258,153.6157498,1
332.705787,119.1711414,0
358.5900688,108.0313244,0
493.5366753,288.1269857,2
359.1856401,243.4990228,1
409.4650381,233.6788034,2
384.701062,295.7312805,2
316.6834498,122.3016866,0
324.3548378,258.7820408,1
425.7012116,293.0335812,2
491.0711252,161.9217154,2
379.0832407,296.9822045,2
394.8641341,289.9619937,2
361.8421324,195.2947349,1
407.3614669,284.6043876,2
400.9611041,184.9795907,1
366.6355689,93.74386958,0
354.5098359,149.9134168,1
450.5840855,221.4994923,2
416.8404711,116.0281999,1
427.9197591,130.0696268,1
422.7441034,162.5201166,1
421.4155149,289.4602311,2
356.5723102,288.4819163,2
392.3754811,300.5534999,2
349.4173718,162.5939764,1
427.5341692,170.1465825,1
354.248983,111.9468548,0
426.8613537,136.6565638,1
366.2244153,94.54362306,0
391.1068804,287.6615364,2
480.9336019,187.9809999,2
336.8799591,112.7617497,0
466.2523252,191.7703148,2
461.7343461,108.8300433,1
426.7416845,162.9128589,1
359.5636385,101.1621184,0
302.2305556,98.99280451,0
395.5424982,286.2302893,2
293.1909851,110.2902241,0
401.8114872,299.5583413,2
471.2166779,175.373543,2
399.3905056,96.85942413,1
458.0443794,187.6553739,2
493.9246227,280.824248,2
408.3220757,189.4693906,1
330.6018999,125.6225652,0
463.5248102,178.6127721,2
451.2060824,133.4658158,1
303.4087496,137.4451819,0
327.0353471,227.1822338,1
334.2387821,196.638925,1
357.7237219,100.0004988,0
416.5375385,133.4429466,1
417.3509253,271.6734773,2
300.6995057,295.9956225,1
418.353034,281.720362,2
307.0240259,217.6251231,1
366.8225914,194.2249366,1
396.502725,95.50114501,1
434.5015331,154.0998816,1
453.7487755,218.6929082,2
368.8578051,169.2520872,1
332.5594934,243.6428649,1
492.4123353,303.1813663,2
400.9324191,240.7879565,2
317.4334174,232.4993469,1
305.5529706,242.5307021,1
371.9426876,123.2451198,1
443.7458518,271.9126695,2
310.0783966,118.2264416,0
472.2141092,291.6261493,2
346.7512148,117.9659061,0
382.2838193,205.027635,1
304.6227832,208.5700803,1
327.8950629,129.7865224,0
317.2874165,121.1129993,0
323.3527437,220.2663871,1
460.0099055,272.8454363,2
389.3735878,208.7615251,1
319.3107494,279.7529986,1
406.799024,132.8788148,1
462.0278245,247.5855153,2
317.9653779,137.6121962,0
452.598844,275.0424812,2
363.4856592,171.6342748,1
392.656288,292.762596,2
424.476399,211.4963984,2
422.593955,225.9315184,2
318.4415162,122.1636336,0
482.4581153,198.6251999,2
485.0617856,259.9803606,2
342.8649295,102.6827692,0
399.3463363,275.0203333,2
314.0320863,140.5787101,0
403.6032318,165.3071662,1
343.320132,171.7769481,1
502.5713938,185.7621207,2
411.606695,113.7154383,1
501.0970844,248.3061778,2
491.1350269,293.9223737,2
293.2124959,137.0970762,0
453.1901887,184.454533,2
485.941041,284.6191964,2
368.7634801,134.5196134,1
383.9078917,160.1087445,1
491.5198946,273.388497,2
408.399922,238.3862452,2
463.1371652,188.3358161,2
442.9120504,156.4806354,1
365.1515819,143.9977696,1
395.7596662,191.953789,1
335.229767,201.9788959,1
456.8401186,132.9661031,1
443.0615266,124.3033309,1
463.5799533,106.0706512,1
354.1734935,153.9034874,1
384.8025876,118.8815566,1
419.6712423,114.6616638,1
382.6925759,261.1582233,2
463.7515653,293.8183919,2
404.9236356,136.8061264,1
425.3169705,296.6930837,2
379.505755,184.7156588,1
303.751801,148.4291076,0
485.6013452,223.7200304,2
390.1679354,162.5456764,1
327.2616985,180.3939544,1
307.3917445,182.6459949,1
403.3010466,235.9728314,2
408.9331793,158.6474428,1
312.8369248,142.957372,0
380.2296258,161.7795227,1
501.4873381,282.032046,2
410.7179083,105.7885056,1
349.4705591,192.1122193,1
305.7973886,115.5061825,0
347.9664097,208.296112,1
394.3323515,258.7532879,2
304.1780168,136.4102855,0
366.5336713,282.1447475,2
432.4828892,132.9919956,1
355.18363,158.3943685,1
492.982313,225.9925387,2
341.8039658,112.9337322,0
445.8016392,137.7464471,1
286.9834618,131.0547095,0
359.3348037,104.433282,0
351.4507171,201.3449977,1
384.0209475,211.4993502,1
430.6022408,142.3630728,1
300.8554284,99.37209278,0
482.2601483,119.8629884,1
456.403448,184.2637809,2
329.5189094,222.1775124,1
483.7958103,171.2989448,2
493.1591103,250.2899358,2
409.1725596,292.0921642,2
418.4516118,172.297415,1
431.1079511,217.1073339,2
448.5898472,183.0849758,2
319.3617168,218.5905548,1
333.384843,226.0123941,1
322.133072,100.2600605,0
372.1256844,135.0841473,1
445.0529567,260.3340242,2
416.8487487,228.8571196,2
321.0257854,252.8405281,1
474.9391128,283.7256414,2
365.3343626,153.8090217,1
452.1788108,281.9248144,2
290.0100037,126.995317,0
417.816789,116.6283583,1
415.9570472,164.2116386,1
303.6197354,190.4718656,1
372.5883681,209.5018795,1
311.984408,194.2522796,1
376.1030541,257.2500612,2
439.6595986,125.0200534,1
401.7219391,228.5497384,2
285.2374764,139.5447014,0
386.0718585,216.9261941,1
487.5389753,241.9955756,2
372.2592617,196.272909,1
497.0849575,301.5056762,2
388.35471,190.9677253,1
444.007485,247.7405302,2
356.1628731,202.0849476,1
419.7235856,262.0416958,2
483.4672724,186.886177,2
459.9320197,139.0752466,1
473.359523,270.5493857,2
346.9140834,284.7211976,2
329.6908951,210.4505506,1
323.365899,137.7611654,0
483.779241,108.4049968,1
328.9825949,130.5839661,0
358.7231035,302.4764346,2
474.7442187,224.7870318,2
338.4574922,182.659426,1
346.6392074,217.9600668,1
475.3944913,141.7330867,1
309.5372062,209.4291888,1
427.7193069,125.6136523,1
393.0836848,287.7075947,2
444.6551733,131.2689621,1
462.3425547,202.6292746,2
358.2471664,215.5724762,1
358.8663796,108.0834179,0
288.9335503,132.2785634,0
454.7108719,192.6524125,2
341.9215722,125.4314162,0
354.3710895,238.2861921,1
501.4189293,167.6179738,2
498.0116547,109.9789602,1
429.9484143,284.9430918,2
391.7501267,129.192371,1
445.7417001,137.6699535,1
438.215973,117.0637559,1
309.9011814,211.7087764,1
383.994356,112.4103605,1
481.275033,235.6049086,2
492.36802,236.8445321,2
294.8485878,158.5382671,0
332.3105796,237.2928772,1
349.1067947,191.1423159,1
370.3320601,140.4179357,1
316.5043671,111.8279679,0
488.2605022,158.1573004,2
407.739877,174.3569963,1
366.7572521,161.2778452,1
414.3847507,143.361605,1
407.5471037,170.4278181,1
329.1626128,269.6958313,1
452.9580713,259.0807939,2
347.6456694,102.9740692,0
380.9591295,189.6772227,1
317.5553493,98.2167372,0
483.5418357,292.2844786,2
394.6342573,187.7800992,1
310.3890266,124.4938343,0
404.16364,137.1765955,1
342.1350453,93.80676734,0
319.6830943,225.7691184,1
318.6539591,237.4057123,1
311.0395757,102.8187624,0
400.6027587,151.5392498,1
467.149644,269.1530988,2
354.0458086,101.0276956,0
350.7234728,118.4509419,0
394.2424228,154.7072313,1
394.3871988,150.2902994,1
365.284229,98.45569922,0
290.6071935,274.7037041,1
440.1847609,144.4701019,1
446.4421135,109.3590613,1
441.8249696,152.7441992,1
474.6137882,220.2970312,2
362.1045355,151.9210688,1
393.5841243,273.6310682,2
321.3342898,181.4364023,1
364.8882032,275.4814732,2
365.7951804,283.3342352,2
464.1175367,143.170401,1
418.8614829,281.9018075,2
449.0486431,196.5845633,2
343.9519728,245.4098173,1
486.9119036,205.8904069,2
310.7139344,261.6006674,1
322.2689944,190.7869808,1
427.2869984,127.1644244,1
461.2437841,237.8412095,2
437.038288,125.1836449,1
344.9537868,103.1448343,0
460.1893431,255.5978887,2
475.5050598,228.7559243,2
469.8643619,175.3965252,2
344.3316271,210.6219876,1
449.583303,97.4689975,1
498.941713,289.9744563,2
337.1181496,209.8175445,1
300.9138548,204.7391297,1
302.8775381,144.0721859,0
304.082332,195.812802,1
296.5553696,120.1032452,0
375.8364254,127.3448036,1
445.2342567,194.9485439,2
424.4563571,291.6572319,2
357.1993322,214.0262488,1
300.4871098,104.2276478,0
299.4265832,135.8762028,0
485.0419433,255.4473454,2
297.8586034,120.8356607,0
464.5072075,202.2924492,2
383.8255775,275.9078662,2
469.6630287,111.0338978,1
361.7071723,195.2251509,1
387.2632614,104.7509393,1
497.2320748,201.8136284,2
455.522776,297.1351273,2
430.8693917,103.8850025,1
420.5451848,302.3694265,2
367.073557,99.7488891,0
394.0481635,296.1140951,2
459.5969924,234.0004987,2
354.6807655,205.4011037,1
340.0906446,103.3695412,0
413.3654562,130.4349546,1
338.240744,115.3855931,0
472.8116243,209.2921443,2
305.777721,138.6260084,0
381.9639746,195.2371756,1
434.3657295,218.1111716,2
350.9314233,118.6794025,0
325.595863,98.70902856,0
435.4149976,101.1556772,1
423.7646799,293.2539829,2
480.8077203,164.9150682,2
332.6658393,160.4712914,1
389.9822729,244.8553199,2
329.4190556,136.2447515,0
340.6595079,114.8443158,0
434.8457194,293.4616081,2
287.9502163,148.4485334,0
475.5107986,165.6413998,2
492.9278745,163.8965635,2
354.2613186,284.7701476,2
379.7736457,259.7756508,2
358.3699576,299.2948595,2
367.2487522,281.1456696,2
400.0769242,180.7719009,1
457.3143596,291.2671943,2
304.9539303,129.9797211,0
305.4278463,126.4474648,0
310.2831739,129.2740999,0
457.2373258,121.7293489,1
288.2789595,115.2115608,0
363.4679388,290.5068889,2
472.6751331,209.8069443,2
451.9929435,204.874903,2
365.8286961,176.457402,1
349.7745697,157.4352853,1
436.1552828,209.4420004,2
344.3720716,210.3768047,1
330.3248972,196.9188363,1
502.9741148,149.991861,2
394.087169,139.2380846,1
401.9298654,284.7068413,2
465.4326064,267.2044624,2
416.3763567,250.8499937,2
328.2979549,231.4306724,1
331.5880005,201.8972786,1
365.2235425,183.6438084,1
406.7820338,152.3745085,1
502.3317856,204.2145115,2
373.1577966,159.6751416,1
331.3554071,181.1226492,1
337.3859228,121.3586923,0
429.0070947,292.0714319,2
444.3095785,260.2454182,2
372.6691375,300.070047,2
342.5475709,230.1052951,1
352.4953754,181.5938439,1
446.7449038,202.7076395,2
408.3253371,288.14334,2
363.2370987,224.2566818,1
340.9883562,107.5963225,0
289.1585324,116.5387999,0
323.992999,92.58482975,0
309.2944895,140.4120358,0
373.8351601,298.257987,2
308.5563629,139.3759409,0
350.5570761,243.0746372,1
374.7550972,137.9626255,1
301.4438717,156.3522644,0
351.901634,110.809979,0
348.9125663,194.5616405,1
299.3279159,229.7226648,1
498.7126376,168.0394349,2
312.9935198,251.57473,1
325.3305759,167.6432311,1
354.4826994,168.9287787,1
414.8018889,126.4764565,1
447.4886235,281.88921,2
351.2590924,103.1323699,0
477.9296744,122.520988,1
325.932691,123.8032193,0
