x,y,color
281.76201,186.0248371,1
212.5036747,199.0315846,0
180.0148945,259.3790595,0
302.3724043,284.4651824,0
328.7597267,176.9455175,1
319.325241,233.5878534,1
241.8775365,247.1916724,0
312.6097469,182.3279056,1
246.7659297,240.8321892,0
276.9645272,342.4998115,0
185.6460091,264.9435292,0
284.9623484,130.2667299,1
179.7763006,212.1140547,0
314.1471075,193.1534483,1
243.932622,264.8532217,0
312.2319851,338.9955968,0
279.1959599,286.3830667,0
347.0907855,252.1686275,1
290.7178292,228.7287063,1
322.4209252,138.0026019,1
323.5269772,282.6938483,0
168.5665622,219.2782682,0
287.5350247,223.4401387,1
241.5556696,230.4388595,0
350.6234701,203.8647322,1
199.4580351,195.6819069,0
355.4836359,212.1224628,1
304.8561104,306.0116092,0
260.7982252,234.171424,0
256.6080821,98.14954959,1
221.4263442,258.0247658,0
320.5226413,251.8040229,1
231.4729685,215.1159445,0
202.1446694,279.5904432,0
206.8764803,125.6663843,1
310.5975119,202.090072,1
271.3570484,151.1444189,1
270.0058471,153.9840279,1
365.1445791,192.0603114,1
290.3343382,141.8556026,1
351.8266803,323.3807716,0
200.0776061,309.1174526,0
326.2164028,249.149684,1
210.3211544,244.6004536,0
249.1179852,308.8009911,0
241.8056143,204.33352,0
177.2786967,201.4038635,0
206.7786657,287.597629,0
378.3125748,238.241288,1
385.7817884,176.6834244,1
224.587461,155.4079877,1
265.7491303,332.7412407,0
333.5930847,204.2053763,1
234.3838538,231.5573407,0
234.1128268,242.5298694,0
283.3625676,158.706859,1
225.1329838,129.4172592,1
200.331704,179.8124906,0
331.7611291,176.6588547,1
305.8070646,134.4272572,1
296.5410515,136.8133809,1
333.5377965,215.7992165,1
286.9367733,163.219433,1
321.3678458,301.5393213,0
180.763499,250.1938073,0
362.0514558,148.0351991,1
211.3290149,216.370686,0
242.1777104,121.8706406,1
384.8434853,249.8493074,1
222.6633626,124.1557982,1
233.0509861,224.0004361,0
235.1789669,232.6332931,0
272.5663962,141.6705743,1
207.720907,179.638019,0
316.5492679,233.7511143,1
345.1856129,168.3226988,1
250.381615,214.3971832,0
328.1788454,168.5322517,1
363.2026497,232.5348652,1
375.8287606,245.8741551,1
331.293165,114.2198193,1
352.7940163,175.067548,1
317.9621652,124.8841916,1
199.8304536,139.478982,1
221.5080324,261.3013361,0
208.6899605,139.2093022,1
206.8914803,273.2521245,0
253.3376052,304.3282122,0
256.8101592,148.9167625,1
385.9870948,287.2554757,0
393.3824857,219.2951592,1
245.3322717,222.3300174,0
294.7093736,138.1121364,1
207.2061577,303.7657046,0
193.4644957,248.2056603,0
228.5463995,231.0308439,0
324.3116602,189.2625572,1
349.8883622,223.3189729,1
180.9887599,241.685954,0
376.8798094,160.3011941,1
263.9532876,264.8808252,0
174.7591395,270.1209999,0
294.0189037,317.5082731,0
339.4364873,124.9055209,1
221.7592496,185.9381766,0
250.3822681,242.489912,0
222.8367356,175.8892666,0
321.6492652,183.8547934,1
256.7123911,315.2258232,0
329.3996791,174.2423843,1
202.1584539,272.9493648,0
310.120969,172.6067329,1
307.9356548,198.6998569,1
359.2184654,313.9735843,0
268.6250427,338.4787256,0
271.1987067,238.29585,0
282.1347251,188.640942,1
365.6381413,247.6971969,1
222.9214815,121.3341438,1
208.8913411,292.2030762,0
248.3823542,296.9430716,0
345.8055583,258.4226265,1
200.7766089,235.5264575,0
334.8287103,164.2561469,1
350.628456,233.0716867,1
257.5667427,301.4623258,0
292.9678149,330.3039345,0
332.4848963,224.4773618,1
329.0103379,102.9535805,1
300.7510811,184.1182509,1
199.1680475,142.2216079,1
291.179567,332.7758588,0
208.7453635,305.9557885,0
322.4315883,222.8759024,1
290.917175,298.5291048,0
173.8802277,206.9288468,0
201.5121386,141.1280685,1
169.275945,210.83844,0
302.6604896,146.3514496,1
372.6490577,182.5933403,1
260.5394877,255.0147281,0
198.9376336,290.2756976,0
191.5075946,253.4732772,0
214.713574,112.0113064,1
256.5186461,140.0830323,1
285.9686956,320.3535272,0
313.1966115,319.6091974,0
216.6766445,189.1268073,0
378.344698,296.7500531,0
329.7935443,195.1671133,1
320.7611581,136.8599888,1
381.8127579,191.1577433,1
348.8108578,306.2632756,0
339.5148248,259.8563609,1
231.4382887,223.6418125,0
259.7909967,316.4160396,0
261.9134567,298.6408011,0
264.7648652,199.2287923,0
270.6577974,329.0078881,0
277.4615202,114.3952721,1
358.5309461,165.6537559,1
211.7471604,115.8585562,1
310.1790709,114.4054929,1
282.7646155,306.842442,0
269.8002648,289.7621741,0
256.3676341,153.1473987,1
313.5794062,120.3651081,1
398.3501728,217.1838797,1
217.796439,265.246312,0
240.9877786,328.9389082,0
167.6087056,196.8581716,0
288.2763408,122.0304636,1
280.4368132,270.1602763,0
309.0227389,297.9920316,0
202.4983102,289.6280661,0
176.7738018,243.703536,0
205.7956074,259.1866644,0
301.307427,192.4591925,1
212.7980398,243.151733,0
376.9323118,202.0003779,1
269.0067513,212.8882112,0
240.99324,314.535543,0
299.9226121,144.282977,1
363.4088791,139.9898399,1
337.1660454,303.9561666,0
391.849651,227.3498606,1
221.8231268,262.2706744,0
187.4591172,222.5609601,0
241.9140068,174.2130956,0
300.5367584,338.7620294,0
179.2101666,254.1370976,0
350.4455444,299.7275336,0
383.2663024,180.2210435,1
217.6379454,257.8960833,0
366.8923244,188.9674036,1
330.7336516,259.727168,1
226.7580014,324.9679748,0
371.8598006,186.9189461,1
239.5651566,234.8954145,0
281.0550896,254.4046657,0
222.5826687,312.9156617,0
234.2375491,153.8477363,1
228.3674556,201.1059063,0
313.6585913,198.8767048,1
233.4038845,212.3978363,0
251.8665802,224.962487,0
320.4724442,252.7846066,1
384.5271438,173.5992887,1
366.5273186,169.042732,1
220.3365145,218.0300019,0
343.1311977,188.1786393,1
221.5236629,140.1484136,1
368.1905748,242.0896582,1
392.6475093,208.4465397,1
326.520493,246.4530432,1
384.1200146,191.1224388,1
368.9405161,156.4497334,1
220.7668902,295.2732194,0
360.0459533,152.6661615,1
206.3079485,211.3282351,0
379.9401275,182.968604,1
197.4629964,232.7466225,0
206.7543802,166.4611764,0
389.8252196,187.1717587,1
240.018219,207.9991663,0
216.4958383,197.5357382,0
196.1549868,295.1413402,0
236.0182196,220.6627903,0
214.2471998,174.526963,0
325.2814966,330.2364284,0
248.0525636,280.128015,0
277.8594387,168.4039729,1
252.7025184,296.8972232,0
195.4653529,278.1184013,0
221.4912932,178.4152067,0
192.3059032,255.9419092,0
259.8369324,195.8150672,0
310.8502659,98.43863775,1
188.2944627,264.3356445,0
198.8316506,282.523872,0
260.6008743,241.0506942,0
204.1983374,230.8982473,0
329.3127837,291.3767601,0
274.0268085,105.8087187,1
245.0164255,110.9369147,1
325.8724087,163.2307542,1
317.0065632,232.1411978,1
396.0573738,287.8138821,0
242.6333033,275.579137,0
335.2135408,206.0283456,1
324.8259608,178.254368,1
245.9830163,171.1718035,0
237.8416296,291.2541037,0
258.2668714,286.6828311,0
338.5052954,180.8242448,1
212.5367155,205.6808985,0
350.9466284,252.551553,1
287.7821668,109.274828,1
375.3852797,160.5869236,1
325.7178747,182.421243,1
177.7555102,239.4071526,0
334.2153056,185.2153928,1
354.6432356,158.4885673,1
294.8873062,199.7172135,1
308.4382565,297.9594859,0
295.3499517,132.2648213,1
247.8605433,232.4624938,0
247.1650732,187.9603313,0
340.0584984,170.2268458,1
198.8444174,247.5588921,0
332.4293316,241.1776068,1
362.583679,212.8863221,1
380.5262284,175.0347406,1
212.9321931,188.9293999,0
201.0698502,242.3437379,0
350.8791699,179.5223801,1
218.2441661,240.1643655,0
213.9006525,265.994377,0
311.3554354,213.9492909,1
187.3045611,202.660682,0
276.2853713,142.7127264,1
222.0641459,223.9370438,0
231.3347939,131.2001877,1
250.7632931,144.410822,1
374.651379,153.0943185,1
373.9133939,306.4240991,0
306.1223492,134.189211,1
261.4609412,173.4563203,1
176.4141748,228.2385018,0
212.2350658,237.3499406,0
387.0983077,198.2161469,1
201.1693185,150.2268001,1
263.5755606,168.9234467,1
257.2185918,108.3177483,1
374.6272109,182.9048373,1
242.725605,233.7910476,0
263.804322,218.8972674,0
327.442238,213.7943523,1
275.8643956,113.5719266,1
350.6632885,239.1364657,1
339.5113467,185.1290912,1
255.2876964,110.140691,1
359.9419696,207.2100133,1
282.0981529,265.4225513,0
342.8679491,148.9406844,1
242.3262116,192.6594502,0
293.7628456,217.7395373,1
278.3569057,95.94321296,1
202.3202006,204.301745,0
272.0082341,211.0565349,0
367.6466097,156.3502213,1
196.1527561,291.7414119,0
204.8016441,293.2221704,0
268.8910439,225.1003673,0
264.6889099,135.5645925,1
262.8310477,95.93149836,1
370.3878696,300.6002697,0
331.1925271,189.1807272,1
192.3585527,257.6052148,0
275.8585629,343.5879831,0
254.7466653,115.4112689,1
349.9082824,176.9183653,1
231.1182642,261.6298009,0
280.7267747,152.6816538,1
249.7914729,277.7708719,0
333.3743512,308.0878879,0
288.3260871,321.2185287,0
209.2607242,201.7632779,0
305.4029509,179.2243114,1
189.143478,239.8968647,0
270.1700445,306.906997,0
241.2748025,240.1120002,0
375.3177923,299.9502851,0
294.4490487,195.3838507,1
311.9907378,319.3706975,0
288.907497,110.5186979,1
177.076582,205.3971149,0
211.929223,134.9653157,1
285.139307,144.6150914,1
254.689351,95.43417427,1
282.4349658,312.7789669,0
263.7238771,114.8545197,1
363.355493,184.1218027,1
347.644501,169.0019039,1
365.8337989,212.3629974,1
259.9650883,149.4773188,1
218.968604,176.5830111,0
214.6381813,143.5678699,1
211.9217537,130.080642,1
239.7499005,278.9167552,0
262.8007394,153.6176823,1
283.1831467,121.4355194,1
268.3809873,226.0396666,0
272.5115102,306.5924243,0
313.5274894,160.2478712,1
238.0138025,215.3749014,0
210.7311156,165.6385232,0
284.6860297,194.685491,1
362.7708786,215.3085926,1
294.9278877,137.3124428,1
208.4798523,174.6252121,0
314.4503985,172.2155843,1
259.4867077,238.1810344,0
262.8234054,231.1840575,0
364.6885889,287.3143479,0
199.3377749,236.8307634,0
253.7389369,274.0113199,0
318.1579134,302.1534907,0
290.4610417,124.8759704,1
333.417875,189.9217748,1
256.7103787,307.6585691,0
189.4160149,203.1520154,0
285.5286915,185.8585887,1
295.5979148,129.8309847,1
315.5424832,250.3968302,1
199.2390023,290.5582102,0
225.3155566,110.9356071,1
238.51565,255.3631342,0
358.7803514,152.6968433,1
265.9909005,335.0512194,0
359.3875187,187.6488466,1
332.5255632,341.55709,0
220.446095,277.3943507,0
336.2292289,258.211243,1
248.1514672,244.8530841,0
273.6948145,123.8843141,1
216.0203524,313.1821427,0
306.3627818,296.9696073,0
335.6960513,223.8789702,1
225.056163,189.8172885,0
181.103217,225.0924432,0
318.8425422,151.5270776,1
234.327679,285.2741719,0
348.7298261,295.2814669,0
339.6837422,197.134117,1
183.6251693,200.1774861,0
196.9687725,184.8556923,0
221.0402682,198.8575553,0
197.1176888,152.0355294,1
239.4216214,124.3368411,1
298.599233,156.1096148,1
344.6541764,213.2117092,1
271.0655337,245.1512563,0
282.4474477,89.88160702,1
260.5542519,254.0757844,0
210.5565759,190.3940903,0
308.2280135,219.0345895,1
205.2590243,235.1060484,0
295.2226082,172.5557229,1
193.0052852,157.3655979,1
235.109381,125.3630369,1
294.582942,133.1069251,1
375.7171077,262.5414085,1
